study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho	n_cells	cell_weighted_pearson_r	cell_weighted_spearman_rho
Bian_2018_Science	8	8	0.06179808103479445	0.05013369993643278	1103	-0.02793111838400364	-0.05169005201952759
Borras_2023_Cell_Discov	18	1	0.3514557480812073	0.03921568627450981	54	0.18741951882839203	0.036980556856437585
Che_2021_Cell_Discov	6	6	-0.06905137906627108	-0.12128289304136797	11520	0.0039751422591507435	-0.027201137970913256
Chen_2021_Cell	101	94	0.01045465793094023	0.02234853154772596	32811	-0.01568760722875595	-0.016843763673335194
Chen_2024_Cancer_Cell	20	20	-0.10697204009629786	-0.14368929130174538	58833	-0.1490786075592041	-0.18744621319877172
Giguelay_2022_Theranostics	5	5	-0.043707767594605686	-0.07181432778778056	3458	-0.040906552225351334	-0.10853780993987638
Guo_2022_JCI_Insight	6	6	-0.052608744241297245	-0.14201476800155005	3175	-0.07172644883394241	-0.19960808826551718
HTAPP_HTAN	20	20	-0.05569631385151297	-0.08491768071208558	19711	-0.07878603786230087	-0.11846719613474575
Harmon_2023_Nat_Cancer	1	1	0.008075673133134842	0.020008574765927583	98	0.008075673133134842	0.020008574765927583
Huang_2024_Nat_Cancer	3	2	0.09660434350371361	0.23342807644074146	102	0.16251374781131744	0.1889974524231653
Ji_2024_Cancer_Lett	2	2	0.17364675551652908	0.21630425228099165	10269	0.18712036311626434	0.2248269136887006
Ji_2024_PLoS_Genet	3	3	0.06985298295815785	0.03689090265486909	5793	0.06799515336751938	-0.05598157578045855
Joanito_2022_Nat_Genet	31	31	0.13280150573700666	0.09423877471055431	25851	0.11883030086755753	0.04375803145662158
Khaliq_2022_Genome_Biol	16	15	0.07073733086387317	0.06616081890615945	7141	0.0399395190179348	0.02191277938901662
Lee_2020_Nat_Genet	34	34	0.05606713165145587	0.012643062919972225	29741	0.2668933570384979	0.17660956169119388
Li_2017_Nat_Genet	10	1	-0.24372750520706177	0.004555820475782052	54	-0.15369980037212372	-0.017874903457162354
Li_2023_Cancer_Cell	19	19	0.012670185122835008	0.01928370383925633	36360	0.05764765292406082	0.07329767280792489
Liu_2024_Cancer_Res	16	16	0.07359805057058111	0.09774067234400552	46501	0.07325570285320282	0.08569927730128059
MUI_Innsbruck	12	12	0.4359111761053403	0.3839841681898346	15856	0.3593934178352356	0.3174837409969599
Pelka_2021_Cell	62	62	0.03665929463421626	0.017130818988693435	100569	-0.02662915550172329	-0.08050624214539256
Qi_2022_Nat_Commun	5	5	0.021852507814764978	0.06394292162059365	6566	0.009473235346376896	0.025900517635451512
Qian_2020_Cell_Res	7	7	0.06713211283619915	0.10784682426369749	9753	0.08606109768152237	0.15136779536203063
Qin_2023_Cell_Rep_Med	29	29	0.04326253862858846	0.055174652527276595	78466	0.0772336795926094	0.09448084700776303
Sathe_2023_Clin_Cancer_Res	4	3	-0.06043029328187307	-0.07021898873666571	6716	0.04873356595635414	0.09837469539494072
Terekhanova_2023_Nature	5	5	0.0584944064845331	0.09021778059044579	22196	0.03030128963291645	0.051991244404313415
Tian_2023_Nat_Med	27	25	0.02164703977294266	-0.030785728583358363	80372	-0.3078502118587494	-0.37174112927952824
Uhlitz_2021_EMBO_Mol_Med	12	12	0.04102391501267751	0.025852570759032453	13194	0.07764964550733566	0.09941804869772466
Wang_2021_Adv_Sci	8	7	0.09991154234324183	0.14172023353047575	307	0.19124332070350647	0.22155916121081382
Wang_2023_Sci_Adv	6	5	0.12468792768195272	0.13841757070846758	23232	-0.0760776549577713	-0.21428071996479126
Wu_2022_Cancer_Discov	7	3	0.01746896654367447	0.006210432483683452	79	-0.053856439888477325	-0.02569971184501731
Wu_2024_Cell	6	3	-0.07046286513408025	-0.08619932323567538	114	0.1383579522371292	0.12521527438717245
Yang_2023_Front_Oncol	1	1	0.4212299883365631	0.39368913882295226	1879	0.4212299883365631	0.39368913882295226
Zhang_2018_Nature	5	0			8		
Zhang_2020_Cell	9	8	0.3548563364893198	0.3248533395374327	571	0.33799484372138977	0.4908100962643442
Zheng_2022_Signal_Transduct_Target_Ther	4	4	0.0710275312885642	0.11513331487114023	13019	0.13565635681152344	0.20629819384447876
deVries_2023_Nature	1	0			1		
